ticket_id,opened_at,category,priority,site,asset_id,reported_by,text,gt_entities,data_status
TKT00252,2019-04-02 00:38:00,security_incident,P2,HQ-WHK,AST-0189,cont017,Antivirus on the engineering workstation flagged TRITON after a contractor connected a USB drive at HQ-WHK. Machine isolated from the OT network for imaging.,malware=TRITON|site=HQ-WHK,SYNTHETIC
TKT00263,2019-04-02 01:19:00,network_fault,P3,PORT-WVB,AST-0070,supe112,Firewall rule change blocked HTTPS polling to AST-0070; control room lost trend data until the rule was reverted.,asset=AST-0070|proto=HTTPS,SYNTHETIC
TKT00149,2019-04-02 01:43:00,mechanical,P2,WORKSHOP-01,AST-0037,main044,"Haul truck hydraulic leak reported by operator at WORKSHOP-01. Unit removed from service, no network impact to AST-0037.",asset=AST-0037|site=WORKSHOP-01,SYNTHETIC
TKT00312,2019-04-02 08:56:00,access_request,P2,PIT-B,AST-0105,cont017,Offboarding: disable account cont017 and revoke remote access tokens issued for PIT-B.,site=PIT-B|user=cont017,SYNTHETIC
TKT00258,2019-04-02 16:09:00,network_fault,P4,PIT-A,AST-0194,ot057,"High latency on the PIT-A microwave backhaul. Telemetry from AST-0194 arriving late, historian shows gaps of several minutes.",asset=AST-0194|site=PIT-A,SYNTHETIC
TKT00190,2019-04-02 19:03:00,security_incident,P4,TAILINGS-01,AST-0087,cont085,Repeated failed remote logins for account cont085 from 16.106.30.229 against the SCADA HMI on AST-0087. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0087|ip=16.106.30.229|target=SCADA HMI|user=cont085,SYNTHETIC
TKT00223,2019-04-02 19:04:00,network_fault,P4,PORT-WVB,AST-0182,cont023,Intermittent link loss between the PORT-WVB radio bridge and the core switch. SNMP sessions from AST-0182 time out during the fault window.,asset=AST-0182|proto=SNMP|site=PORT-WVB,SYNTHETIC
TKT00273,2019-04-02 20:15:00,instrumentation,P3,WORKSHOP-01,AST-0123,main038,Thermostat on AST-0123 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0123,SYNTHETIC
TKT00270,2019-04-02 20:21:00,security_incident,P3,TAILINGS-01,AST-0184,mine090,Possible credential sharing: the same account mine090 authenticated from 73.77.109.193 and a second address within a few minutes. Access review requested for TAILINGS-01.,ip=73.77.109.193|site=TAILINGS-01|user=mine090,SYNTHETIC
TKT00318,2019-04-02 20:57:00,instrumentation,P3,TAILINGS-01,AST-0035,cont083,"Sensor AST-0035 at TAILINGS-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0035|site=TAILINGS-01,SYNTHETIC
TKT00047,2019-04-02 23:45:00,mechanical,P4,PIT-B,AST-0105,it067,"Haul truck hydraulic leak reported by operator at PIT-B. Unit removed from service, no network impact to AST-0105.",asset=AST-0105|site=PIT-B,SYNTHETIC
TKT00099,2019-04-03 00:42:00,network_fault,P4,PORT-WVB,AST-0127,ot057,Firewall rule change blocked Modbus/TCP polling to AST-0127; control room lost trend data until the rule was reverted.,asset=AST-0127|proto=Modbus/TCP,SYNTHETIC
TKT00153,2019-04-03 01:01:00,security_incident,P4,CAMP-01,AST-0059,main043,Antivirus on the engineering workstation flagged BlackEnergy after a contractor connected a USB drive at CAMP-01. Machine isolated from the OT network for imaging.,malware=BlackEnergy|site=CAMP-01,SYNTHETIC
TKT00300,2019-04-03 02:27:00,access_request,P3,CAMP-01,AST-0092,mine102,Contractor mine102 requires temporary remote access to the historian at CAMP-01 for a commissioning task. Approval and MFA enrolment required before access is granted.,site=CAMP-01|target=historian|user=mine102,SYNTHETIC
TKT00172,2019-04-03 04:44:00,mechanical,P3,PIT-A,AST-0173,it061,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,site=PIT-A,SYNTHETIC
TKT00299,2019-04-03 09:19:00,mechanical,P3,PIT-B,AST-0131,cont005,Pump seal failure at the PIT-B dewatering station. Standby pump started automatically.,site=PIT-B,SYNTHETIC
TKT00286,2019-04-03 10:00:00,security_incident,P1,CAMP-01,AST-0187,cont002,Antivirus on the engineering workstation flagged TRITON after a contractor connected a USB drive at CAMP-01. Machine isolated from the OT network for imaging.,malware=TRITON|site=CAMP-01,SYNTHETIC
TKT00135,2019-04-03 14:05:00,security_incident,P3,PLANT-01,AST-0132,cont018,Possible credential sharing: the same account cont018 authenticated from 74.120.21.109 and a second address within a few minutes. Access review requested for PLANT-01.,ip=74.120.21.109|site=PLANT-01|user=cont018,SYNTHETIC
TKT00281,2019-04-03 19:56:00,instrumentation,P2,CAMP-01,AST-0188,mine098,"Sensor AST-0188 at CAMP-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0188|site=CAMP-01,SYNTHETIC
TKT00230,2019-04-03 22:48:00,instrumentation,P3,PLANT-01,AST-0082,main044,GPS tracker on the PLANT-01 light vehicle fleet dropping position fixes; firmware update pending.,site=PLANT-01,SYNTHETIC
TKT00012,2019-04-04 02:33:00,instrumentation,P2,PIT-A,AST-0090,cont084,GPS tracker on the PIT-A light vehicle fleet dropping position fixes; firmware update pending.,site=PIT-A,SYNTHETIC
TKT00016,2019-04-04 02:43:00,instrumentation,P2,PIT-A,AST-0090,mine094,GPS tracker on the PIT-A light vehicle fleet dropping position fixes; firmware update pending.,site=PIT-A,SYNTHETIC
TKT00187,2019-04-04 02:47:00,security_incident,P4,CAMP-01,AST-0183,it066,Unusual RDP traffic observed from AST-0183 at CAMP-01 towards 89.174.155.128. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0183|ip=89.174.155.128|proto=RDP|site=CAMP-01,SYNTHETIC
TKT00089,2019-04-04 03:12:00,instrumentation,P2,PLANT-01,AST-0108,cont026,"Sensor AST-0108 at PLANT-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0108|site=PLANT-01,SYNTHETIC
TKT00095,2019-04-04 04:26:00,security_incident,P2,PIT-A,AST-0087,main035,Unusual RDP traffic observed from AST-0087 at PIT-A towards 167.43.9.72. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0087|ip=167.43.9.72|proto=RDP|site=PIT-A,SYNTHETIC
TKT00147,2019-04-04 05:17:00,security_incident,P2,CAMP-01,AST-0164,supe109,Possible credential sharing: the same account supe109 authenticated from 210.130.243.104 and a second address within a few minutes. Access review requested for CAMP-01.,ip=210.130.243.104|site=CAMP-01|user=supe109,SYNTHETIC
TKT00241,2019-04-04 05:29:00,network_fault,P4,PIT-A,AST-0110,mine100,DHCP exhaustion at PIT-A; new devices cannot obtain an address. Affected range includes 134.181.211.169.,ip=134.181.211.169|site=PIT-A,SYNTHETIC
TKT00310,2019-04-04 10:52:00,instrumentation,P1,PIT-B,AST-0118,cont087,GPS tracker on the PIT-B light vehicle fleet dropping position fixes; firmware update pending.,site=PIT-B,SYNTHETIC
TKT00266,2019-04-04 12:56:00,instrumentation,P3,HQ-WHK,AST-0094,cont008,"Sensor AST-0094 at HQ-WHK reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0094|site=HQ-WHK,SYNTHETIC
TKT00285,2019-04-04 19:53:00,network_fault,P3,PLANT-01,AST-0022,cont003,Intermittent link loss between the PLANT-01 radio bridge and the core switch. DNP3 sessions from AST-0022 time out during the fault window.,asset=AST-0022|proto=DNP3|site=PLANT-01,SYNTHETIC
TKT00036,2019-04-04 21:24:00,instrumentation,P4,WORKSHOP-01,AST-0082,main038,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,site=WORKSHOP-01,SYNTHETIC
TKT00115,2019-04-04 22:18:00,access_request,P1,PIT-A,AST-0166,main049,Account main049 requests privilege elevation on AST-0166 to complete firmware maintenance.,asset=AST-0166|user=main049,SYNTHETIC
TKT00228,2019-04-04 22:20:00,access_request,P3,TAILINGS-01,AST-0100,it067,Offboarding: disable account it067 and revoke remote access tokens issued for TAILINGS-01.,site=TAILINGS-01|user=it067,SYNTHETIC
TKT00220,2019-04-04 23:39:00,access_request,P2,PIT-B,AST-0123,mine095,Request to open RDP from the vendor network to AST-0123 for diagnostics. Security review required before the rule is added.,asset=AST-0123|proto=RDP,SYNTHETIC
TKT00201,2019-04-05 01:22:00,instrumentation,P4,WORKSHOP-01,AST-0074,vend071,Thermostat on AST-0074 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0074,SYNTHETIC
TKT00028,2019-04-05 03:38:00,security_incident,P4,TAILINGS-01,AST-0159,cont026,Vendor account cont026 logged into the OT jump host outside the approved maintenance window and opened the PLC engineering workstation. No change ticket exists for this work.,target=PLC engineering workstation|user=cont026,SYNTHETIC
TKT00146,2019-04-05 07:50:00,mechanical,P3,TAILINGS-01,AST-0163,cont025,Crusher liner wear beyond limit at TAILINGS-01. Production rate reduced until the liner is replaced.,site=TAILINGS-01,SYNTHETIC
TKT00260,2019-04-05 11:03:00,mechanical,P3,PIT-B,AST-0043,supe114,Crusher liner wear beyond limit at PIT-B. Production rate reduced until the liner is replaced.,site=PIT-B,SYNTHETIC
TKT00242,2019-04-05 13:15:00,mechanical,P4,PIT-A,AST-0036,supe106,Pump seal failure at the PIT-A dewatering station. Standby pump started automatically.,site=PIT-A,SYNTHETIC
TKT00051,2019-04-05 18:05:00,mechanical,P2,PIT-A,AST-0095,it062,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,site=PIT-A,SYNTHETIC
TKT00211,2019-04-05 19:47:00,security_incident,P3,WORKSHOP-01,AST-0157,main046,Repeated failed remote logins for account main046 from 200.245.187.32 against the fleet management portal on AST-0157. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0157|ip=200.245.187.32|target=fleet management portal|user=main046,SYNTHETIC
TKT00125,2019-04-05 19:52:00,mechanical,P2,PORT-WVB,AST-0098,cont008,Crusher liner wear beyond limit at PORT-WVB. Production rate reduced until the liner is replaced.,site=PORT-WVB,SYNTHETIC
TKT00283,2019-04-05 22:19:00,mechanical,P1,PIT-A,AST-0017,vend069,Crusher liner wear beyond limit at PIT-A. Production rate reduced until the liner is replaced.,site=PIT-A,SYNTHETIC
TKT00248,2019-04-06 00:12:00,security_incident,P4,CAMP-01,AST-0088,ot058,Unusual RDP traffic observed from AST-0088 at CAMP-01 towards 19.223.134.21. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0088|ip=19.223.134.21|proto=RDP|site=CAMP-01,SYNTHETIC
TKT00058,2019-04-06 04:17:00,network_fault,P4,TAILINGS-01,AST-0115,supe111,Intermittent link loss between the TAILINGS-01 radio bridge and the core switch. HTTPS sessions from AST-0115 time out during the fault window.,asset=AST-0115|proto=HTTPS|site=TAILINGS-01,SYNTHETIC
TKT00256,2019-04-06 04:35:00,security_incident,P1,PIT-B,AST-0144,mine093,Repeated failed remote logins for account mine093 from 145.43.107.60 against the fleet management portal on AST-0144. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0144|ip=145.43.107.60|target=fleet management portal|user=mine093,SYNTHETIC
TKT00144,2019-04-06 08:47:00,instrumentation,P4,TAILINGS-01,AST-0095,mine097,"Sensor AST-0095 at TAILINGS-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0095|site=TAILINGS-01,SYNTHETIC
TKT00234,2019-04-06 09:05:00,security_incident,P3,PIT-B,AST-0184,main040,Vendor account main040 logged into the OT jump host outside the approved maintenance window and opened the PLC engineering workstation. No change ticket exists for this work.,target=PLC engineering workstation|user=main040,SYNTHETIC
TKT00075,2019-04-06 09:13:00,mechanical,P3,WORKSHOP-01,AST-0042,mine097,Conveyor drive bearing at WORKSHOP-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=WORKSHOP-01,SYNTHETIC
TKT00203,2019-04-06 09:49:00,instrumentation,P4,PIT-A,AST-0003,cont080,"Sensor AST-0003 at PIT-A reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0003|site=PIT-A,SYNTHETIC
TKT00218,2019-04-06 13:07:00,network_fault,P3,HQ-WHK,AST-0136,cont026,Intermittent link loss between the HQ-WHK radio bridge and the core switch. Modbus/TCP sessions from AST-0136 time out during the fault window.,asset=AST-0136|proto=Modbus/TCP|site=HQ-WHK,SYNTHETIC
TKT00280,2019-04-06 16:16:00,instrumentation,P2,PLANT-01,AST-0006,mine098,Thermostat on AST-0006 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0006,SYNTHETIC
TKT00154,2019-04-06 19:22:00,access_request,P2,PORT-WVB,AST-0090,cont017,Offboarding: disable account cont017 and revoke remote access tokens issued for PORT-WVB.,site=PORT-WVB|user=cont017,SYNTHETIC
TKT00067,2019-04-06 19:25:00,security_incident,P3,PIT-A,AST-0159,supe108,Antivirus on the engineering workstation flagged TRITON after a contractor connected a USB drive at PIT-A. Machine isolated from the OT network for imaging.,malware=TRITON|site=PIT-A,SYNTHETIC
TKT00062,2019-04-06 20:33:00,network_fault,P2,HQ-WHK,AST-0084,it059,DHCP exhaustion at HQ-WHK; new devices cannot obtain an address. Affected range includes 105.162.156.156.,ip=105.162.156.156|site=HQ-WHK,SYNTHETIC
TKT00275,2019-04-06 23:24:00,mechanical,P4,PORT-WVB,AST-0148,cont017,Conveyor drive bearing at PORT-WVB running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=PORT-WVB,SYNTHETIC
TKT00170,2019-04-07 00:16:00,mechanical,P2,WORKSHOP-01,AST-0077,mine092,Pump seal failure at the WORKSHOP-01 dewatering station. Standby pump started automatically.,site=WORKSHOP-01,SYNTHETIC
TKT00208,2019-04-07 01:44:00,network_fault,P2,TAILINGS-01,AST-0077,vend071,Intermittent link loss between the TAILINGS-01 radio bridge and the core switch. MQTT sessions from AST-0077 time out during the fault window.,asset=AST-0077|proto=MQTT|site=TAILINGS-01,SYNTHETIC
TKT00224,2019-04-07 03:59:00,instrumentation,P3,PLANT-01,AST-0121,it063,Modbus register map on AST-0121 does not match the documented configuration after a vendor visit.,asset=AST-0121,SYNTHETIC
TKT00195,2019-04-07 05:08:00,access_request,P2,PIT-B,AST-0112,supe108,Offboarding: disable account supe108 and revoke remote access tokens issued for PIT-B.,site=PIT-B|user=supe108,SYNTHETIC
TKT00314,2019-04-07 08:37:00,mechanical,P3,PLANT-01,AST-0045,it065,Pump seal failure at the PLANT-01 dewatering station. Standby pump started automatically.,site=PLANT-01,SYNTHETIC
TKT00126,2019-04-07 08:58:00,security_incident,P2,PIT-B,AST-0009,mine101,Antivirus on the engineering workstation flagged Conficker after a contractor connected a USB drive at PIT-B. Machine isolated from the OT network for imaging.,malware=Conficker|site=PIT-B,SYNTHETIC
TKT00148,2019-04-07 12:38:00,network_fault,P3,PIT-B,AST-0071,supe105,DHCP exhaustion at PIT-B; new devices cannot obtain an address. Affected range includes 137.163.5.41.,ip=137.163.5.41|site=PIT-B,SYNTHETIC
TKT00215,2019-04-07 16:29:00,instrumentation,P2,PORT-WVB,AST-0150,cont083,Thermostat on AST-0150 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0150,SYNTHETIC
TKT00174,2019-04-07 21:09:00,access_request,P2,PIT-A,AST-0005,main028,Offboarding: disable account main028 and revoke remote access tokens issued for PIT-A.,site=PIT-A|user=main028,SYNTHETIC
TKT00118,2019-04-07 22:06:00,security_incident,P2,CAMP-01,AST-0135,main043,Repeated failed remote logins for account main043 from 211.228.88.171 against the SCADA HMI on AST-0135. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0135|ip=211.228.88.171|target=SCADA HMI|user=main043,SYNTHETIC
TKT00102,2019-04-07 22:08:00,access_request,P4,TAILINGS-01,AST-0161,cont086,Account cont086 requests privilege elevation on AST-0161 to complete firmware maintenance.,asset=AST-0161|user=cont086,SYNTHETIC
TKT00079,2019-04-07 23:21:00,mechanical,P2,HQ-WHK,AST-0066,supe104,Crusher liner wear beyond limit at HQ-WHK. Production rate reduced until the liner is replaced.,site=HQ-WHK,SYNTHETIC
TKT00246,2019-04-08 00:32:00,access_request,P4,PIT-A,AST-0108,main038,Account main038 requests privilege elevation on AST-0108 to complete firmware maintenance.,asset=AST-0108|user=main038,SYNTHETIC
TKT00178,2019-04-08 00:46:00,access_request,P3,CAMP-01,AST-0115,supe114,Offboarding: disable account supe114 and revoke remote access tokens issued for CAMP-01.,site=CAMP-01|user=supe114,SYNTHETIC
TKT00020,2019-04-08 01:51:00,access_request,P3,PIT-B,AST-0172,cont017,Account cont017 requests privilege elevation on AST-0172 to complete firmware maintenance.,asset=AST-0172|user=cont017,SYNTHETIC
TKT00276,2019-04-08 02:32:00,network_fault,P3,PIT-A,AST-0065,cont088,Firewall rule change blocked MQTT polling to AST-0065; control room lost trend data until the rule was reverted.,asset=AST-0065|proto=MQTT,SYNTHETIC
TKT00191,2019-04-08 08:00:00,network_fault,P3,WORKSHOP-01,AST-0037,cont012,"High latency on the WORKSHOP-01 microwave backhaul. Telemetry from AST-0037 arriving late, historian shows gaps of several minutes.",asset=AST-0037|site=WORKSHOP-01,SYNTHETIC
TKT00117,2019-04-08 09:38:00,instrumentation,P3,WORKSHOP-01,AST-0174,main049,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,site=WORKSHOP-01,SYNTHETIC
TKT00024,2019-04-08 11:05:00,security_incident,P2,CAMP-01,AST-0157,it059,Possible credential sharing: the same account it059 authenticated from 58.213.148.79 and a second address within a few minutes. Access review requested for CAMP-01.,ip=58.213.148.79|site=CAMP-01|user=it059,SYNTHETIC
TKT00091,2019-04-08 11:26:00,security_incident,P3,PORT-WVB,AST-0131,supe108,Repeated failed remote logins for account supe108 from 91.157.36.23 against the CCTV recorder on AST-0131. SOC asked to review; account temporarily disabled pending confirmation.,asset=AST-0131|ip=91.157.36.23|target=CCTV recorder|user=supe108,SYNTHETIC
TKT00229,2019-04-08 13:01:00,instrumentation,P4,HQ-WHK,AST-0014,ot052,Modbus register map on AST-0014 does not match the documented configuration after a vendor visit.,asset=AST-0014,SYNTHETIC
TKT00133,2019-04-08 13:58:00,mechanical,P3,TAILINGS-01,AST-0036,cont024,Pump seal failure at the TAILINGS-01 dewatering station. Standby pump started automatically.,site=TAILINGS-01,SYNTHETIC
TKT00277,2019-04-08 15:45:00,access_request,P3,PIT-A,AST-0100,ot054,Request to open SNMP from the vendor network to AST-0100 for diagnostics. Security review required before the rule is added.,asset=AST-0100|proto=SNMP,SYNTHETIC
TKT00094,2019-04-08 16:05:00,instrumentation,P3,WORKSHOP-01,AST-0037,ot058,GPS tracker on the WORKSHOP-01 light vehicle fleet dropping position fixes; firmware update pending.,site=WORKSHOP-01,SYNTHETIC
TKT00021,2019-04-08 16:23:00,security_incident,P4,CAMP-01,AST-0130,cont011,Unusual SSH traffic observed from AST-0130 at CAMP-01 towards 30.166.48.145. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0130|ip=30.166.48.145|proto=SSH|site=CAMP-01,SYNTHETIC
TKT00049,2019-04-08 16:43:00,network_fault,P2,PORT-WVB,AST-0068,mine099,Firewall rule change blocked Modbus/TCP polling to AST-0068; control room lost trend data until the rule was reverted.,asset=AST-0068|proto=Modbus/TCP,SYNTHETIC
TKT00238,2019-04-08 17:15:00,instrumentation,P3,CAMP-01,AST-0182,vend077,Modbus register map on AST-0182 does not match the documented configuration after a vendor visit.,asset=AST-0182,SYNTHETIC
TKT00171,2019-04-08 22:18:00,mechanical,P1,WORKSHOP-01,AST-0061,it059,Conveyor drive bearing at WORKSHOP-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=WORKSHOP-01,SYNTHETIC
TKT00010,2019-04-09 02:40:00,security_incident,P3,HQ-WHK,AST-0011,main036,Unusual SNMP traffic observed from AST-0011 at HQ-WHK towards 196.6.242.219. Volume far above the normal baseline for this device. Suspected scanning activity.,asset=AST-0011|ip=196.6.242.219|proto=SNMP|site=HQ-WHK,SYNTHETIC
TKT00202,2019-04-09 02:42:00,instrumentation,P3,TAILINGS-01,AST-0176,cont022,Modbus register map on AST-0176 does not match the documented configuration after a vendor visit.,asset=AST-0176,SYNTHETIC
TKT00288,2019-04-09 04:43:00,mechanical,P2,TAILINGS-01,AST-0097,vend075,Conveyor drive bearing at TAILINGS-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=TAILINGS-01,SYNTHETIC
TKT00073,2019-04-09 06:49:00,instrumentation,P3,PIT-A,AST-0092,main027,Modbus register map on AST-0092 does not match the documented configuration after a vendor visit.,asset=AST-0092,SYNTHETIC
TKT00282,2019-04-09 09:21:00,mechanical,P3,TAILINGS-01,AST-0015,cont021,Conveyor drive bearing at TAILINGS-01 running hot. Vibration readings above the alarm threshold; replacement scheduled for the next shutdown.,site=TAILINGS-01,SYNTHETIC
TKT00046,2019-04-09 10:12:00,network_fault,P4,PLANT-01,AST-0005,cont083,"High latency on the PLANT-01 microwave backhaul. Telemetry from AST-0005 arriving late, historian shows gaps of several minutes.",asset=AST-0005|site=PLANT-01,SYNTHETIC
TKT00059,2019-04-09 17:33:00,instrumentation,P2,CAMP-01,AST-0110,main046,"Sensor AST-0110 at CAMP-01 reporting values outside the calibrated range. Calibration certificate expired, technician assigned.",asset=AST-0110|site=CAMP-01,SYNTHETIC
TKT00114,2019-04-09 21:46:00,network_fault,P2,CAMP-01,AST-0114,ot051,DHCP exhaustion at CAMP-01; new devices cannot obtain an address. Affected range includes 192.95.17.145.,ip=192.95.17.145|site=CAMP-01,SYNTHETIC
TKT00009,2019-04-10 02:44:00,access_request,P3,WORKSHOP-01,AST-0151,main049,Offboarding: disable account main049 and revoke remote access tokens issued for WORKSHOP-01.,site=WORKSHOP-01|user=main049,SYNTHETIC
TKT00168,2019-04-10 05:41:00,instrumentation,P1,TAILINGS-01,AST-0111,vend072,Modbus register map on AST-0111 does not match the documented configuration after a vendor visit.,asset=AST-0111,SYNTHETIC
TKT00226,2019-04-10 06:27:00,security_incident,P3,PIT-B,AST-0039,cont024,Possible credential sharing: the same account cont024 authenticated from 156.235.207.197 and a second address within a few minutes. Access review requested for PIT-B.,ip=156.235.207.197|site=PIT-B|user=cont024,SYNTHETIC
TKT00290,2019-04-10 07:38:00,mechanical,P4,CAMP-01,AST-0193,vend071,Pump seal failure at the CAMP-01 dewatering station. Standby pump started automatically.,site=CAMP-01,SYNTHETIC
TKT00084,2019-04-10 07:49:00,access_request,P2,CAMP-01,AST-0147,main046,Account main046 requests privilege elevation on AST-0147 to complete firmware maintenance.,asset=AST-0147|user=main046,SYNTHETIC
TKT00304,2019-04-10 13:25:00,access_request,P4,PLANT-01,AST-0153,cont086,Offboarding: disable account cont086 and revoke remote access tokens issued for PLANT-01.,site=PLANT-01|user=cont086,SYNTHETIC
TKT00284,2019-04-10 13:47:00,access_request,P3,WORKSHOP-01,AST-0079,mine103,Request to open SSH from the vendor network to AST-0079 for diagnostics. Security review required before the rule is added.,asset=AST-0079|proto=SSH,SYNTHETIC
TKT00219,2019-04-10 14:18:00,mechanical,P2,WORKSHOP-01,AST-0187,supe112,Pump seal failure at the WORKSHOP-01 dewatering station. Standby pump started automatically.,site=WORKSHOP-01,SYNTHETIC
TKT00031,2019-04-10 17:43:00,mechanical,P2,CAMP-01,AST-0140,cont017,Pump seal failure at the CAMP-01 dewatering station. Standby pump started automatically.,site=CAMP-01,SYNTHETIC
TKT00237,2019-04-10 20:24:00,network_fault,P4,TAILINGS-01,AST-0154,vend070,Firewall rule change blocked RDP polling to AST-0154; control room lost trend data until the rule was reverted.,asset=AST-0154|proto=RDP,SYNTHETIC
TKT00017,2019-04-10 22:19:00,instrumentation,P4,PLANT-01,AST-0176,ot058,Thermostat on AST-0176 drifting by several degrees against the reference probe. Scheduled for recalibration.,asset=AST-0176,SYNTHETIC
TKT00077,2019-04-10 22:56:00,access_request,P1,TAILINGS-01,AST-0007,it062,Request to open SSH from the vendor network to AST-0007 for diagnostics. Security review required before the rule is added.,asset=AST-0007|proto=SSH,SYNTHETIC
